times,temp,humidity,light,sound
12:00:57 14-06-2026,33.50,70.30,152.50,1858.00
12:01:02 14-06-2026,33.50,70.30,152.50,1879.00
12:01:07 14-06-2026,33.60,70.40,158.33,1839.00
12:01:13 14-06-2026,33.60,70.20,154.17,1771.00
12:01:18 14-06-2026,33.60,69.50,155.00,1856.00
12:01:23 14-06-2026,33.60,70.10,155.00,1834.00
12:01:29 14-06-2026,33.60,70.10,153.33,1855.00
12:01:34 14-06-2026,33.60,70.10,153.33,1865.00
12:01:40 14-06-2026,33.60,70.20,153.33,1867.00
12:01:55 14-06-2026,33.70,69.70,153.33,1860.00
12:02:01 14-06-2026,33.70,69.80,151.67,1883.00
12:02:06 14-06-2026,33.70,69.90,153.33,1872.00
12:02:13 14-06-2026,33.70,69.90,152.50,1877.00
12:02:19 14-06-2026,33.70,69.90,166.67,1884.00
12:02:24 14-06-2026,33.70,69.90,164.17,1918.00
12:02:29 14-06-2026,33.70,69.70,164.17,1847.00
12:02:35 14-06-2026,33.70,69.50,163.33,1722.00
12:02:40 14-06-2026,33.80,69.90,162.50,1840.00
12:02:45 14-06-2026,33.80,69.70,165.00,1971.00
12:02:51 14-06-2026,33.80,69.80,166.67,1774.00
12:02:56 14-06-2026,33.80,69.70,166.67,1859.00
12:03:01 14-06-2026,33.80,69.90,165.83,1867.00
